run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
0,payoff_only,0.5,0.0,0.5,0.229037233166618,0.3485807031062893,1.0,0.0,0.0,,0
1,payoff_only,0.5,0.0,0.5,0.2441971854964855,0.3614739588353197,1.0,0.0,0.0,,0
2,payoff_only,0.5,0.0,0.5,0.23373639007677238,0.34653380930133115,1.0,0.0,0.0,,0
3,payoff_only,0.5,0.0,0.5,0.21125896014740408,0.3314449571382536,1.0,0.0,0.0,,0
4,payoff_only,0.5,0.0,0.5,0.2436333086941177,0.3554362033260708,1.0,0.0,0.0,,0
5,payoff_only,0.5,0.0,0.5,0.23886097237964918,0.35439289570826127,1.0,0.0,0.0,,0
6,payoff_only,0.5,0.0,0.5,0.20920211450504894,0.32409532452673184,1.0,0.0,0.0,,0
7,payoff_only,0.5,0.0,0.5,0.23837716467511194,0.348687770368158,1.0,0.0,0.0,,0
8,payoff_only,0.5,0.0,0.5,0.2162713481796467,0.3348322114582445,1.0,0.0,0.0,,0
9,payoff_only,0.5,0.0,0.5,0.23066557994808767,0.35288320254736655,1.0,0.0,0.0,,0
10,payoff_only,0.5,0.0,0.5,0.23877544683222432,0.3548479455633582,1.0,0.0,0.0,,0
11,payoff_only,0.5,0.0,0.5,0.22818726457506236,0.3393691158581178,1.0,0.0,0.0,,0
12,payoff_only,0.5,0.0,0.5,0.25734755999896664,0.36282473181714264,1.0,0.0,0.0,,0
13,payoff_only,0.5,0.0,0.5,0.24203829664450205,0.35764503678931264,1.0,0.0,0.0,,0
14,payoff_only,0.5,0.0,0.5,0.2361379263861428,0.35547007413810827,1.0,0.0,0.0,,0
15,payoff_only,0.5,0.0,0.5,0.2319833260396593,0.35379736667290174,1.0,0.0,0.0,,0
16,payoff_only,0.5,0.0,0.5,0.22761370775019985,0.3455417514691677,1.0,0.0,0.0,,0
17,payoff_only,0.5,0.0,0.5,0.24709285091749755,0.3539170136697631,1.0,0.0,0.0,,0
18,payoff_only,0.5,0.0,0.5,0.24254090513814572,0.36504018332372823,1.0,0.0,0.0,,0
19,payoff_only,0.5,0.0,0.5,0.22172214780926583,0.33733885889644666,1.0,0.0,0.0,,0
20,payoff_only,0.5,0.0,0.5,0.2461110245851126,0.3588859922756981,1.0,0.0,0.0,,0
21,payoff_only,0.5,0.0,0.5,0.27677130085929386,0.3925743048031222,1.0,0.0,0.0,,0
22,payoff_only,0.5,0.0,0.5,0.23977812676696778,0.35277838204361556,1.0,0.0,0.0,,0
23,payoff_only,0.5,0.0,0.5,0.24645969403459642,0.36050659257666995,1.0,0.0,0.0,,0
24,payoff_only,0.5,0.0,0.5,0.24836881443514236,0.36329892687329424,1.0,0.0,0.0,,0
25,payoff_only,0.5,0.0,0.5,0.24144976715601296,0.36426212097126487,1.0,0.0,0.0,,0
26,payoff_only,0.5,0.0,0.5,0.23547539921752467,0.3437516076716542,1.0,0.0,0.0,,0
27,payoff_only,0.5,0.0,0.5,0.23021233077133604,0.348845329373891,1.0,0.0,0.0,,0
28,payoff_only,0.5,0.0,0.5,0.23674113609801453,0.35320575923455855,1.0,0.0,0.0,,0
29,payoff_only,0.5,0.0,0.5,0.2405565701106151,0.34937722527991744,1.0,0.0,0.0,,0
0,reputation_only,0.5,0.0,0.22264527199881454,0.2886045795337759,0.35434686496864887,1.0,0.0,0.585182327168153,,0
1,reputation_only,0.5,0.0,0.2291239231898436,0.3223105464292367,0.388194164575684,1.0,0.0,0.6101838105364421,,0
2,reputation_only,0.5,0.0,0.23056651491441738,0.3088963952060264,0.3757266274566133,1.0,0.0,0.5840633935454772,,0
3,reputation_only,0.5,0.0,0.26191866512316414,0.3253946201014851,0.3930576280895186,1.0,0.0,0.5889926432767664,,0
4,reputation_only,0.5,0.0,0.19100645338596903,0.2828135276764635,0.34692429845434625,1.0,0.0,0.6481631943213909,,0
5,reputation_only,0.5,0.0,0.1505436190411573,0.2541602437017971,0.32023504452600093,1.0,0.0,0.5921801710797654,,1
6,reputation_only,0.5,0.0,0.16121817406597783,0.23755365837479847,0.29097879863477183,1.0,0.0,0.5688748025926279,,0
7,reputation_only,0.5,0.0,0.19067380550099813,0.25317625357472573,0.31705054317719045,1.0,0.0,0.5732646710486989,,0
8,reputation_only,0.5,0.0,0.14986220483290635,0.25064580016459814,0.30663901884982553,1.0,0.0,0.4967801006066834,,1
9,reputation_only,0.5,0.0,0.17853043333299792,0.2416702382846211,0.29503053472585206,1.0,0.0,0.5291822079130395,,0
10,reputation_only,0.5,0.0,0.19260549260861282,0.2892030832234426,0.35529751388274605,1.0,0.0,0.5657530838160604,,0
11,reputation_only,0.5,0.0,0.2064855140433978,0.27995369199831444,0.3384591571808189,1.0,0.0,0.5561837554150324,,0
12,reputation_only,0.5,0.0,0.22831402795998126,0.32398497801610604,0.3881894586562762,1.0,0.0,0.5263547889273896,,0
13,reputation_only,0.5,0.0,0.2282616181193883,0.2890986772810504,0.35791082664714174,1.0,0.0,0.5292304426440583,,0
14,reputation_only,0.5,0.0,0.18360523721368477,0.2596624276435489,0.3169980347311936,1.0,0.0,0.5512837585085416,,0
15,reputation_only,0.5,0.0,0.19570299318283485,0.28635239251184197,0.34980281734489466,1.0,0.0,0.5652337118333679,,0
16,reputation_only,0.5,0.0,0.17322695894382806,0.27974489062932995,0.3419608895034759,1.0,0.0,0.5392528921501377,,1
17,reputation_only,0.5,0.0,0.1743709527136378,0.2793643352564337,0.3372888838329975,1.0,0.0,0.5959840786852544,,0
18,reputation_only,0.5,0.0,0.19749189404676892,0.2728399062820788,0.33869434874734006,1.0,0.0,0.5541158216447528,,0
19,reputation_only,0.5,0.0,0.20649484419546493,0.2912996743359242,0.3529117937820768,1.0,0.0,0.5511603734235668,,0
20,reputation_only,0.5,0.0,0.18877204650705082,0.29403102909265244,0.35686545048395457,1.0,0.0,0.6891641877504875,,1
21,reputation_only,0.5,0.0,0.21937264826808328,0.30580062552649034,0.3731556610280732,1.0,0.0,0.5777304122419212,,0
22,reputation_only,0.5,0.0,0.2050627615736233,0.2769909343210595,0.34105848171174935,1.0,0.0,0.5652647600299572,,0
