run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown,parameter,value,seed
0,full_structured_model,0.8654346492006689,0.17629715570020763,0.4690940661535846,0.5255039073600455,0.5859770533146876,1.0,0.0,0.7117215007215006,,0,beta_b,0.2,20260721
1,full_structured_model,0.9199556874179752,0.17209323309167449,0.47745920323927976,0.548244312279162,0.6060999518044665,0.9800000000000001,0.0016025641025641025,0.8121717171717171,,0,beta_b,0.2,20260722
2,full_structured_model,0.8975234805066731,0.1611927003533811,0.44358087136567365,0.5448335969142921,0.5985996340739989,1.0,0.0,0.7958840048840049,,0,beta_b,0.2,20260723
3,full_structured_model,0.8812476616362405,0.16710740627562773,0.4407904215225116,0.554498841286551,0.6006782234396109,0.9993333333333334,0.0,0.7118989898989899,,0,beta_b,0.2,20260724
4,full_structured_model,0.9571305471365482,0.0828635538599307,0.46574617876024454,0.5638265844642426,0.6092237683490417,1.0,0.0,0.7190955155955155,,0,beta_b,0.2,20260725
5,full_structured_model,0.9033937355549319,0.16632991466908573,0.43690374365896084,0.5253681317207438,0.5802088517556591,0.9986666666666667,0.0,0.8008535353535352,,0,beta_b,0.2,20260726
6,full_structured_model,0.8567929929789995,0.21531427043113546,0.4477640265082641,0.5359611276528022,0.5908439046442855,0.9960000000000001,0.0,0.6870413475413474,,0,beta_b,0.2,20260727
7,full_structured_model,0.9222110451865432,0.12798708118124386,0.4667941316518755,0.5764197029058191,0.6369882889969068,1.0,0.0,0.4096269841269842,,0,beta_b,0.2,20260728
8,full_structured_model,0.9076717180965367,0.12034249751489935,0.4466006190341531,0.5430455196327326,0.5921017023769285,1.0,0.0,0.7712064047064048,,0,beta_b,0.2,20260729
9,full_structured_model,0.9251164809059228,0.12253252219006427,0.4672164944084285,0.5635666247184987,0.6153675876502862,1.0,0.0,0.767,,0,beta_b,0.2,20260730
10,full_structured_model,0.8580032683315811,0.16826582179387753,0.418085284177212,0.5025862447155353,0.5583397656720769,0.9986666666666667,0.0,0.6943719613719614,,0,beta_b,0.2,20260731
11,full_structured_model,0.8762820497333751,0.22980929052620386,0.4559294184511389,0.5517400968170875,0.6090429300284184,0.9793333333333333,0.0016333333333333332,0.6345124042624043,,0,beta_b,0.2,20260732
12,full_structured_model,0.9304746478986947,0.13475784296328047,0.5054411655228197,0.5801072902796488,0.6337228492103155,1.0,0.0,0.7673809523809524,,0,beta_b,0.2,20260733
13,full_structured_model,0.7666558113983081,0.2810244866603337,0.39327486586086835,0.4695859210650704,0.5279530562801044,0.97,0.0018219461697722567,0.7010159595306652,,0,beta_b,0.2,20260734
14,full_structured_model,0.9230431246204537,0.14353755914249183,0.45530874939908644,0.5668322108858835,0.6119271961364826,1.0,0.0,0.8044675324675323,,0,beta_b,0.2,20260735
15,full_structured_model,0.8229516175217714,0.2348240009433305,0.3958315008176931,0.502134731883931,0.5539691920512744,0.99,0.0008,0.8097647075147074,,0,beta_b,0.2,20260736
16,full_structured_model,0.7877075246052112,0.24639558695627933,0.3447129175968285,0.4621568041671016,0.5196162346997015,0.9873333333333334,0.0008695652173913043,0.5792752926468097,,0,beta_b,0.2,20260737
17,full_structured_model,0.8048997745131052,0.2277923980807002,0.40025496122110027,0.4698522688744925,0.528234830819211,1.0,0.0,0.7263540903540904,,0,beta_b,0.2,20260738
18,full_structured_model,0.87101706250697,0.18744244987976325,0.43502332092265117,0.5576875360581647,0.6073195461909103,0.9973333333333335,0.0,0.6241536796536796,,0,beta_b,0.2,20260739
19,full_structured_model,0.7620340703991847,0.273192663855535,0.4302804550798094,0.507062383512116,0.5537369100416991,0.9793333333333333,0.0009523809523809524,0.6191604506604507,,0,beta_b,0.2,20260740
20,full_structured_model,0.7614573012132746,0.24381779580135776,0.36845509930184284,0.45383052981204136,0.4999119141895057,0.9880000000000001,0.002316849816849817,0.6466990808469137,,0,beta_b,0.2,20260741
21,full_structured_model,0.8494867867912591,0.21701562309953926,0.4173042923557186,0.5104514469322063,0.5709201499554949,1.0,0.0,0.7502647907647908,,0,beta_b,0.2,20260742
22,full_structured_model,0.9161580441543559,0.17049048597330166,0.4785926785705404,0.5635237766629865,0.6157217997276596,0.9980000000000001,0.0,0.6161904761904762,,0,beta_b,0.2,20260743
23,full_structured_model,0.8159981017126687,0.2038790521671507,0.3994438130774208,0.5026205344507673,0.5567325784413111,0.9906666666666666,0.0,0.6814035409035409,,0,beta_b,0.2,20260744
24,full_structured_model,0.819999874803584,0.243696150989466,0.4129669580413574,0.4995253317940291,0.5572061171361495,0.9679999999999999,0.001610305958132045,0.7115806693306692,,0,beta_b,0.2,20260745
25,full_structured_model,0.9511496669465461,0.08763742664856568,0.5039297810219643,0.5943561230347547,0.6501238818967491,1.0,0.0,0.6693333333333333,,0,beta_b,0.2,20260746
26,full_structured_model,0.9033744030873052,0.14218509448946287,0.4513036786818977,0.5167594053785693,0.574725209573982,1.0,0.0,0.6904472194472195,,0,beta_b,0.2,20260747
27,full_structured_model,0.6431409636048795,0.2792709934814214,0.3111147696458477,0.39888133467515624,0.4474634966118719,0.966,0.0036181818181818186,0.6328872369460605,,0,beta_b,0.2,20260748
28,full_structured_model,0.8801701144727416,0.19184006586569416,0.45971700444492397,0.5103146701162316,0.5646995258409648,0.996,0.0007692307692307692,0.7351785991785991,,0,beta_b,0.2,20260749
29,full_structured_model,0.7816288265031676,0.24200153357252532,0.37357607837127643,0.4802088710826024,0.5431233980033866,0.9973333333333335,0.0,0.6428393828393828,,0,beta_b,0.2,20260750
0,full_structured_model,0.9530827735072056,0.09289680994858879,0.5472824392347653,0.6141508354723371,0.6695792545309532,1.0,0.0,0.7356666666666666,,0,beta_b,0.35,20260721
1,full_structured_model,0.9809732622810342,0.04019907741393904,0.5544796669664734,0.6318917605080944,0.6812411950968886,1.0,0.0,0.857,,0,beta_b,0.35,20260722
2,full_structured_model,0.9481981240065022,0.11316827697814176,0.5012034200673252,0.6101370692953414,0.6588697201883421,0.998,0.0,0.7900476190476191,,0,beta_b,0.35,20260723
3,full_structured_model,0.9405731139636255,0.1590740296845477,0.526504590372226,0.5848694691685301,0.6348279066378443,0.99,0.0,0.6755952380952381,,0,beta_b,0.35,20260724
4,full_structured_model,0.964216134793354,0.11408047783419202,0.5883823825343613,0.6610754674863721,0.7085804322658537,0.9833333333333334,0.0007407407407407407,0.7775238095238095,,0,beta_b,0.35,20260725
5,full_structured_model,0.9245346373023259,0.13893878126175485,0.49572008480729607,0.5629627378529249,0.6133030883128777,0.996,0.0,0.7984994727494726,,0,beta_b,0.35,20260726
6,full_structured_model,0.9678976311343379,0.13182276267633056,0.5573986720232814,0.6355161327136148,0.6846625194988221,0.9820000000000002,0.0,0.7657619047619048,,0,beta_b,0.35,20260727
7,full_structured_model,0.9902768955120727,0.016930156599877462,0.6225725223448905,0.6930280147129,0.7414584904508533,1.0,0.0,0.0,,0,beta_b,0.35,20260728
8,full_structured_model,0.965217262483632,0.10886796601993697,0.5683763419369523,0.6266465791414778,0.6749233862627871,0.9966666666666666,0.0,0.8343333333333334,,0,beta_b,0.35,20260729
9,full_structured_model,0.9774366535875098,0.036969915084031454,0.5500222328946996,0.6205555598760678,0.666225199150931,1.0,0.0,0.7800656565656564,,0,beta_b,0.35,20260730
10,full_structured_model,0.9647950405107594,0.054279952269944205,0.5571914235861252,0.6304801028932334,0.6743972944854768,1.0,0.0,0.7619523809523809,,0,beta_b,0.35,20260731
11,full_structured_model,0.9909699203196058,0.020459093537647795,0.6087204567099007,0.6704301700589201,0.7154577400040771,1.0,0.0,0.7283333333333333,,0,beta_b,0.35,20260732
12,full_structured_model,0.9877414240173145,0.025937264045412585,0.55402667639454,0.6757608622285567,0.7119712882199962,1.0,0.0,0.7643333333333334,,0,beta_b,0.35,20260733
13,full_structured_model,0.984237659787251,0.024514275483031388,0.530059946307049,0.6531869509342169,0.6976212598161079,1.0,0.0,0.8376666666666667,,0,beta_b,0.35,20260734
14,full_structured_model,0.9881373942891698,0.027850170735235373,0.6021485870270442,0.6689951224536053,0.7156691356097232,1.0,0.0,0.8483333333333333,,0,beta_b,0.35,20260735
15,full_structured_model,0.8631880621112767,0.23130626712253943,0.4701215611228954,0.588179825446479,0.629139544192886,0.9960000000000001,0.0,0.7904069264069264,,0,beta_b,0.35,20260736
16,full_structured_model,0.9736614421631048,0.05598428729364604,0.5626301202081815,0.6293488646933711,0.680150245521856,1.0,0.0,0.7976666666666666,,0,beta_b,0.35,20260737
17,full_structured_model,0.9327585873171084,0.1215820928641583,0.5074449681497196,0.5959435100597841,0.6407757645227647,1.0,0.0,0.7687236652236652,,0,beta_b,0.35,20260738
18,full_structured_model,0.9804880985528936,0.03315851442610585,0.5571226964700118,0.7093168158977421,0.7502538332755375,1.0,0.0,0.7733333333333334,,0,beta_b,0.35,20260739
19,full_structured_model,0.9935707271927892,0.012978974106881501,0.5844611263166164,0.6767269048888633,0.7156731274763883,1.0,0.0,0.7524285714285713,,0,beta_b,0.35,20260740
20,full_structured_model,0.915572189821619,0.18722163792509627,0.4802649809618984,0.5681801317681299,0.6119313202436382,0.9826666666666668,0.0008,0.7241561216561214,,0,beta_b,0.35,20260741
21,full_structured_model,0.9268753366427551,0.12430467930724938,0.5391380539915713,0.6197890044142274,0.6674650975686859,0.998,0.0,0.7717619047619046,,0,beta_b,0.35,20260742
22,full_structured_model,0.933261382107818,0.1494847512706247,0.528482574760761,0.5970588478462268,0.6450849814034331,1.0,0.0,0.6632936507936508,,0,beta_b,0.35,20260743
23,full_structured_model,0.9675540428384664,0.08642373613592025,0.5756266692249347,0.6320514978806808,0.6737645658739629,1.0,0.0,0.7845714285714286,,0,beta_b,0.35,20260744
24,full_structured_model,0.979364335352997,0.06749840983184631,0.5612702582827737,0.6239843169680104,0.6715801791328332,1.0,0.0,0.829095238095238,,0,beta_b,0.35,20260745
25,full_structured_model,0.9769441757697394,0.048013317767182886,0.5254903595415065,0.6243841686327444,0.6682799689959661,1.0,0.0,0.8218968253968254,,0,beta_b,0.35,20260746
26,full_structured_model,0.9609053013887157,0.0953279938931081,0.5461919525085384,0.6352293136107989,0.6787474282313047,1.0,0.0,0.7639999999999999,,0,beta_b,0.35,20260747
27,full_structured_model,0.9000911461584591,0.16482102199713686,0.5395510165410411,0.5432157071322908,0.5915588495805456,1.0,0.0,0.6992164502164501,,0,beta_b,0.35,20260748
28,full_structured_model,0.9912914642893568,0.019521992369479577,0.5666720858761376,0.6312979610151899,0.6745998260340358,1.0,0.0,0.7606666666666666,,0,beta_b,0.35,20260749
