parameter,value,final_mean_belonging,final_mean_belonging_sd,mean_helping_rate,mean_helping_rate_sd,mean_reciprocal_support_rate,mean_reciprocal_support_rate_sd,mean_volunteer_retention,mean_volunteer_retention_sd,mean_withdrawal_rate,mean_collective_avoidance_rate,community_breakdown_probability
beta_b,0.2,0.8587370344479826,0.07063766698182813,0.5227161953711089,0.04418906645620814,0.5766859849637714,0.04397602329480697,0.9926666666666667,0.010613372610104678,0.0005331452712612133,0.6974593786874747,0.0
beta_b,0.35,0.9597297679427821,0.03090950437194649,0.6281357128414355,0.03803784316813413,0.6742652190933373,0.03677827691542615,0.9974222222222223,0.005426579494155158,5.1358024691358027e-05,0.749689578014578,0.0
beta_b,0.5,0.9896806250065229,0.010087521669648731,0.7229110968286356,0.02332705973260182,0.7594268567891448,0.022066689224648627,0.9997777777777778,0.0006855561454818199,0.0,0.7278121693121693,0.0
beta_b,0.65,0.9945000016912264,0.005207924031755306,0.7771788519705327,0.023412037050833646,0.8063584594275687,0.021976437682612766,0.9994444444444445,0.0018116974816470668,2.564102564102564e-05,0.6961072631072631,0.0
lambda_b,0.05,0.7668858677386066,0.06489460735114577,0.5065321386936387,0.04655178832796567,0.5624178591402219,0.045734110300535466,1.0,0.0,0.0,0.7093831985495298,0.0
lambda_b,0.12,0.9597297679427821,0.03090950437194649,0.6281357128414355,0.03803784316813413,0.6742652190933373,0.03677827691542615,0.9974222222222223,0.005426579494155158,5.1358024691358027e-05,0.749689578014578,0.0
lambda_b,0.2,0.9742850955889685,0.01587258008251371,0.6800174202471602,0.023993592403335214,0.7227443567940076,0.02229702694502738,0.9936222222222223,0.009991081591426348,0.00041010603996111236,0.7354537037037037,0.0
omega,0.0,0.9630837169037583,0.030764196738483872,0.6188876269638187,0.033487196674680544,0.6658375608402236,0.031496747236913,0.9992,0.0022379519920619167,0.0,0.0,0.0
omega,0.25,0.9581163287606616,0.051671673176335385,0.6330265750628637,0.042243336689643855,0.6799088821042275,0.040271847333354,0.9959555555555556,0.01065794662723867,0.00032749065749065746,0.12301798941798943,0.0
omega,0.6,0.9597297679427821,0.03090950437194649,0.6281357128414355,0.03803784316813413,0.6742652190933373,0.03677827691542615,0.9974222222222223,0.005426579494155158,5.1358024691358027e-05,0.749689578014578,0.0
omega,1.0,0.9341981166402621,0.07445117496308037,0.6141471732016811,0.04701291717261286,0.6611239291694925,0.04630178274285035,0.9934,0.014745192086072379,0.0003489474454691846,0.8179912654640444,0.0
theta,0.4,0.9910237228206086,0.004202348627057264,0.669461438410054,0.024285267681970462,0.7130587334961638,0.023257598592460137,1.0,0.0,0.0,0.7530486050986052,0.0
theta,0.5,0.9597297679427821,0.03090950437194649,0.6281357128414355,0.03803784316813413,0.6742652190933373,0.03677827691542615,0.9974222222222223,0.005426579494155158,5.1358024691358027e-05,0.749689578014578,0.0
theta,0.6,0.5792190022034345,0.17912810564030593,0.5014787822815739,0.07811721374959413,0.5554975696096933,0.07783890760882248,0.872088888888889,0.07098663914723799,0.021873894881809137,0.6847935589629855,0.0
